KARTE_QUAD,KARTE,QUADRANT,XLU,YLU,XRU,YRU,XRO,YRO,XLO,YLO,XQMITTE,YQMITTE,FLAECHE,FLAECHE_BY,PROZENT
82313,8231,3,4412444,5285192,4418699,5285105,4418777,5290664,4412529,5290751,4415610,5287927,34752935.297,34752935.2972,100
82314,8231,4,4418699,5285105,4424952,5285017,4425025,5290577,4418777,5290664,4421864,5287840,34752489.744,34752489.7441,100
82321,8232,1,4425025,5290577,4431273,5290503,4431339,5296061,4425096,5296134,4428184,5293317,34718001.741,34718001.7412,100
82322,8232,2,4431273,5290503,4437521,5290429,4437580,5295986,4431339,5296061,4434426,5293243,34717636.78,34717636.7802,100
82323,8232,3,4424952,5285017,4431207,5284944,4431273,5290503,4425025,5290577,4428112,5287759,34751284.547,34751284.5469,100
82324,8232,4,4431207,5284944,4437460,5284869,4437521,5290429,4431273,5290503,4434366,5287685,34750919.586,34750919.5859,100
82331,8233,1,4437521,5290429,4443769,5290368,4443823,5295927,4437580,5295986,4440673,5293176,34716659.898,34716659.8985,100
82332,8233,2,4443769,5290368,4450017,5290307,4450063,5295865,4443823,5295927,4446915,5293115,34716375.802,34716375.8024,100
82333,8233,3,4437460,5284869,4443715,5284809,4443769,5290368,4437521,5290429,4440613,5287617,34749914.911,34749914.9112,100
82334,8233,4,4443715,5284809,4449968,5284748,4450017,5290307,4443769,5290368,4446867,5287556,34749630.815,34749630.8151,100
82341,8234,1,4450017,5290307,4456265,5290260,4456306,5295819,4450063,5295865,4453163,5293062,34715569.386,34715569.3861,100
82342,8234,2,4456265,5290260,4462513,5290213,4462547,5295771,4456306,5295819,4459405,5293015,34715334.309,34715334.3095,100
82343,8234,3,4449968,5284748,4456223,5284701,4456265,5290260,4450017,5290307,4453115,5287503,34748851.952,34748851.9525,100
82344,8234,4,4456223,5284701,4462476,5284653,4462513,5290213,4456265,5290260,4459369,5287456,34748616.876,34748616.8759,100
82351,8235,1,4462513,5290213,4468761,5290179,4468790,5295738,4462547,5295771,4465653,5292974,34714746.089,34714746.0893,100
82352,8235,2,4468761,5290179,4475009,5290145,4475031,5295703,4468790,5295738,4471895,5292940,34714576.108,34714576.1079,100
82353,8235,3,4462476,5284653,4468731,5284621,4468761,5290179,4462513,5290213,4465617,5287415,34748000.773,34748000.7728,100
82354,8235,4,4468731,5284621,4474984,5284586,4475009,5290145,4468761,5290179,4471871,5287382,34747830.791,34747830.7914,100
82361,8236,1,4475009,5290145,4481257,5290125,4481274,5295684,4475031,5295703,4478143,5292913,34714158.068,34714158.0679,100
82362,8236,2,4481257,5290125,4487505,5290105,4487515,5295663,4481274,5295684,4484385,5292893,34714052.875,34714052.8751,100
82363,8236,3,4474984,5284586,4481239,5284567,4481257,5290125,4475009,5290145,4478119,5287355,34747440.485,34747440.4848,100
82364,8236,4,4481239,5284567,4487492,5284546,4487505,5290105,4481257,5290125,4484373,5287335,34747335.292,34747335.292,100
82371,8237,1,4487505,5290105,4493753,5290099,4493759,5295657,4487515,5295663,4490633,5292880,34713868.726,34713868.7257,100
82372,8237,2,4493753,5290099,4500001,5290092,4500000,5295650,4493759,5295657,4496875,5292873,34713844.098,34713844.0984,100
82373,8237,3,4487492,5284546,4493747,5284540,4493753,5290099,4487505,5290105,4490621,5287321,34747123.349,34747123.3493,100
82374,8237,4,4493747,5284540,4500000,5284532,4500001,5290092,4493753,5290099,4496875,5287314,34747098.722,34747098.7221,100
82381,8238,1,4500001,5290092,4506249,5290099,4506243,5295657,4500000,5295650,4503123,5292873,34713844.098,34713844.0984,100
82382,8238,2,4506249,5290099,4512497,5290105,4512484,5295663,4506243,5295657,4509365,5292880,34713868.726,34713868.7257,100
82383,8238,3,4500000,5284532,4506255,5284540,4506249,5290099,4500001,5290092,4503123,5287314,34747098.722,34747098.7221,100
82384,8238,4,4506255,5284540,4512507,5284546,4512497,5290105,4506249,5290099,4509377,5287321,34747123.349,34703404.8845,99.8702
82391,8239,1,4512497,5290105,4518745,5290125,4518727,5295684,4512484,5295663,4515613,5292893,34714052.875,34714052.8751,100
82392,8239,2,4518745,5290125,4524993,5290145,4524968,5295703,4518727,5295684,4521855,5292913,34714158.068,34714158.0679,100
82393,8239,3,4512507,5284546,4518762,5284567,4518745,5290125,4512497,5290105,4515625,5287335,34747335.292,25474277.9729,73.3138
